location_id,start_month,end_month,type_count,type_id,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
1760803,9,10,1,14,8,species,Apple,Malus pumila,Malus domestica
1760804,7,8,1,92,6,genus,Mulberry,Morus,
1760811,9,11,1,114,6,genus,Apple,Malus,
1760812,6,8,1,217,8,species,Salal,Gaultheria shallon,
1760843,5,6,1,92,6,genus,Mulberry,Morus,
1760844,8,11,1,2194,7,multispecies,Crabapple,Malus,
1760869,6,10,1,2422,8,species,Red raspberry,Rubus idaeus,
1760891,9,9,1,20,8,species,Common fig,Ficus carica,
1760892,9,9,1,20,8,species,Common fig,Ficus carica,
1760894,10,10,1,112,8,species,Persian walnut,Juglans regia,
1760895,10,11,1,70,6,genus,Chestnut,Castanea,
1760901,9,10,1,111,8,species,Black walnut,Juglans nigra,
1760893,9,10,1,111,8,species,Black walnut,Juglans nigra,
1760896,10,10,1,70,6,genus,Chestnut,Castanea,
1760888,6,8,1,2422,8,species,Red raspberry,Rubus idaeus,
1760875,7,8,2,48,7,multispecies,Blackberry,Rubus,
1760875,7,8,2,12,7,multispecies,Persimmon,Diospyros,
1760915,9,10,1,284,8,species,American plum,Prunus americana,
1760916,9,10,1,4991,9,subspecies,Peppermint peach,Prunus persica 'Peppermint',
1760917,8,10,1,114,6,genus,Apple,Malus,
1760921,10,11,1,351,8,species,Siberian crabapple,Malus baccata,
1760931,8,9,1,15,6,genus,Pear,Pyrus,
1760932,9,9,1,629,8,species,Common grape,Vitis vinifera,
1760934,8,10,1,48,7,multispecies,Blackberry,Rubus,
1760936,8,10,1,114,6,genus,Apple,Malus,
1760937,9,10,1,445,6,genus,Fig,Ficus,
1760938,9,10,1,191,8,species,Staghorn sumac,Rhus typhina,Rhus hirta
1760940,8,11,1,2194,7,multispecies,Crabapple,Malus,
1760933,8,10,1,114,6,genus,Apple,Malus,
1760949,9,10,1,251,8,species,Turkish hazel,Corylus colurna,
1760955,12,2,1,87,6,genus,Kiwifruit,Actinidia,
1760956,9,11,1,69,8,species,Quince,Cydonia oblonga,"Cydonia, Cydonia vulgaris"
1760957,9,10,1,70,6,genus,Chestnut,Castanea,
1760958,5,6,1,121,8,species,Sour cherry,Prunus cerasus,
1760961,7,9,1,2194,7,multispecies,Crabapple,Malus,
1760948,9,11,1,114,6,genus,Apple,Malus,
