type_id,count,taxonomic_rank,taxonomic_rank_name,en_name,scientific_name,scientific_synonyms
1838,2,8,species,Cappadocian maple,Acer cappadocicum,
94,2,8,species,Chaya,Cnidoscolus aconitifolius,
329,2,8,species,Chinese hackberry,Celtis sinensis,
1379,2,8,species,Buddha's belly bamboo,Bambusa vulgaris,
1784,2,0,polyphyletic,Sourgrass,,
1227,2,8,species,Weak-leaf yucca,Yucca flaccida,
974,2,8,species,Aleppo pine,Pinus halepensis,
1581,2,1,kingdom,Animal,Animalia,
1303,2,8,species,Sonoran scrub oak,Quercus turbinella,
1258,2,8,species,Smooth vallesia,Vallesia glabra,
6372,2,6,genus,tea tree,Melaleuca,
6367,2,8,species,Abraham-Isaac-Jacob,Trachystemon orientalis,
955,2,8,species,Sawtooth oak,Quercus acutissima,
7571,2,9,subspecies,Thai basil,Ocimum basilicum var. thyrsiflora,
3020,2,8,species,Brazil cherry,Eugenia brasiliensis,
4069,2,8,species,Cascade bilberry,Vaccinium deliciosum,
2454,2,8,species,Rose moss,Portulaca grandiflora,
1372,2,8,species,Ceylon cinnamon,Cinnamomum verum,Cinnamomum zeylanicum
1243,2,8,species,Silver date palm,Phoenix sylvestris,
1202,2,8,species,Organ pipe cactus,Stenocereus thurberi,
1135,2,8,species,Cuban royal palm,Roystonea regia,
3003,2,8,species,Western blue flax,Linum lewisii,
1031,2,8,species,Tasmanian blue gum,Eucalyptus globulus,
452,2,6,genus,Cannabis,Cannabis,
3099,2,8,species,Sea purslane,Halimione portulacoides,
3102,2,8,species,Père David's maple,Acer davidii,
3105,2,9,subspecies,Evereste crabapple,Malus 'Evereste',
3126,2,8,species,Toothed jelly fungus,Pseudohydnum gelatinosum,Hydnum gelatinosum
2498,1,8,species,Beauty bush,Linnaea amabilis,"Kolkwitzia amabilis, Kolkwitzia"
4282,1,8,species,Bladder campion,Silene vulgaris,Silene inflata
4263,1,8,species,Oysterleaf,Mertensia maritima,
4227,1,8,species,Indian blanketflower,Gaillardia pulchella,
522,1,7,multispecies,Durian,Durio,
3387,1,8,species,Red crowberry,Empetrum rubrum,
4463,1,9,subspecies,Apple,Malus pumila 'd'Eylau',
6233,1,8,species,shortpod mustard,Hirschfeldia incana,Brassica geniculata
6247,1,8,species,scarlet elf cup,Sarcoscypha coccinea,
3402,1,8,species,Cambuca,Plinia edulis,Marlierea edulis
4967,1,9,subspecies,Apple,Malus pumila 'Katja',Malus pumila 'Katy'
51,1,8,species,Lucuma,Pouteria lucuma,"Lucuma obovata, Pouteria obovata"
4482,1,9,subspecies,Weeping willow,Salix babylonica 'Pendula',
4487,1,9,subspecies,European ash,Fraxinus excelsior 'Jaspidea',
1512,1,6,genus,Cornsalad,Valerianella,
6256,1,9,subspecies,Corella pear,Pyrus communis 'Corella',
3404,1,8,species,Mama-cadela,Brosimum gaudichaudii,
